"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"98353";"IRANDUBA";"56";"6";"Deputado Federal";"Coligação";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"40000050273";"TRANSFORMAÇÃO POR UM NOVO AMAZONAS";"REDE / PSC / PRTB";"N";"25";"0"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02410";"ITACOATIARA";"3";"6";"Deputado Federal";"Coligação";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"40000050273";"TRANSFORMAÇÃO POR UM NOVO AMAZONAS";"REDE / PSC / PRTB";"N";"159";"4"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02550";"MANAUS";"65";"6";"Deputado Federal";"Coligação";"27";"DC";"Democracia Cristã";"40000050474";"POR UM AMAZONAS MELHOR";"MDB / DC";"N";"786";"42"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02291";"EIRUNEPÉ";"11";"3";"Governador";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"40000050267";"EU VOTO NO AMAZONAS";"PDT / PRP / AVANTE / PP / PV / PR / SOLIDARIEDADE / PPS / PTB / PHS / PSL / PPL";"N";"7185";"0"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02577";"MANICORÉ";"16";"3";"Governador";"Partido isolado";"16";"PSTU";"Partido Socialista dos Trabalhadores Unificado";"40000050030";"PARTIDO ISOLADO";"PSTU";"N";"3";"0"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"98353";"IRANDUBA";"56";"3";"Governador";"Partido isolado";"16";"PSTU";"Partido Socialista dos Trabalhadores Unificado";"40000050030";"PARTIDO ISOLADO";"PSTU";"N";"6";"0"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02259";"COARI";"8";"3";"Governador";"Coligação";"20";"PSC";"Partido Social Cristão";"40000050275";"TRANSFORMAÇÃO POR UM NOVO AMAZONAS";"PSC / PRTB / REDE";"N";"4051";"0"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"98370";"ITAMARATI";"69";"3";"Governador";"Partido isolado";"50";"PSOL";"Partido Socialismo e Liberdade";"40000050067";"PARTIDO ISOLADO";"PSOL";"N";"5";"0"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02810";"TEFÉ";"9";"5";"Senador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"40000050473";"PARTIDO ISOLADO";"MDB";"N";"13994";"0"
"31/05/2019";"19:35:54";"2018";"2";"Eleição Ordinária";"1";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"E";"AM";"AM";"AMAZONAS";"02534";"MANACAPURU";"6";"5";"Senador";"Partido isolado";"15";"MDB";"Movimento Democrático Brasileiro";"40000050473";"PARTIDO ISOLADO";"MDB";"N";"21405";"0"
